Date,Price,Open,High,Low,Volume,Change
"Jan 30, 2021",34283.1,34300,34920.9,32908.5,128.57K,-0.05%
"Jan 29, 2021",34301.8,33381.7,38546,31953.3,297.73K,2.78%
"Jan 28, 2021",33374.8,30408.9,33790.8,29911.9,167.39K,9.77%
"Jan 27, 2021",30404,32499.6,32545.4,29290.4,194.35K,-6.46%
"Jan 26, 2021",32502.1,32244.1,32917.7,30850,139.84K,0.77%
"Jan 25, 2021",32252.3,32244.3,34854.3,31967.4,142.43K,0.03%
"Jan 24, 2021",32241.3,32088.5,33034.8,30982.9,88.21K,0.47%
"Jan 23, 2021",32088.9,32994.1,33441.4,31418.2,100.70K,-2.76%
"Jan 22, 2021",33000.5,30838.7,33821.2,28871.2,243.09K,7.00%
"Jan 21, 2021",30842.1,35472.3,35591.1,30101.8,253.27K,-13.06%
"Jan 20, 2021",35476.3,35862.1,36384.4,33444.5,153.61K,-1.46%
"Jan 19, 2021",36002.9,36630.6,37821,36001.4,79.11K,-1.67%
"Jan 18, 2021",36613.2,35838.2,37436.8,34801,111.52K,2.16%
"Jan 17, 2021",35839.6,36020.1,36801.3,33883.5,126.82K,-0.50%
"Jan 16, 2021",36019.5,36751.8,37931.7,35408.4,137.02K,-2.24%
"Jan 15, 2021",36845.8,39175.7,39715,34488.7,118.42K,-5.95%
"Jan 14, 2021",39175.7,37383.4,40054.3,36772.1,172.40K,4.80%
"Jan 13, 2021",37382.2,34061.2,37764.6,32451.9,209.93K,9.70%
"Jan 12, 2021",34076.1,35426,36598.7,32572.7,241.93K,-4.13%
"Jan 11, 2021",35544.3,38195.3,38217.2,30411.6,251.04K,-6.93%
"Jan 10, 2021",38192.2,40149.7,41362.4,35141.6,215.78K,-4.88%
"Jan 09, 2021",40151.9,40607.2,41363.5,38775.1,128.42K,-1.10%
"Jan 08, 2021",40599.3,39466.4,41921.7,36613.4,251.29K,2.89%
"Jan 07, 2021",39460.2,36798.5,40340.9,36361.2,249.60K,7.25%
"Jan 06, 2021",36793.2,33999.3,36934.8,33408.3,227.56K,8.24%
"Jan 05, 2021",33991.5,32015.4,34414.7,30010.5,202.13K,6.15%
"Jan 04, 2021",32022.6,33016.6,33587.5,28204.5,255.27K,-2.84%
"Jan 03, 2021",32958.9,32192.9,34755.9,32029.6,155.21K,2.38%
"Jan 02, 2021",32193.3,29359.7,33233.5,29008,240.87K,9.65%
"Jan 01, 2021",29359.9,28951.7,29627.1,28712.4,100.90K,1.42%
"Dec 31, 2020",28949.4,28866.8,29298.8,28025,136.69K,0.28%
"Dec 30, 2020",28868.7,27374.5,28979.3,27374.5,159.82K,5.45%
"Dec 29, 2020",27376,27065.3,27390.7,25902.8,119.57K,1.18%
"Dec 28, 2020",27057.8,26259.2,27444.9,26144.3,126.98K,3.03%
"Dec 27, 2020",26261.3,26460.3,28360.3,25858.2,231.23K,-0.73%
"Dec 26, 2020",26454.4,24714.7,26826,24515.1,155.77K,7.15%
"Dec 25, 2020",24689.6,23728.7,24778.9,23445.3,2.40K,4.02%
"Dec 24, 2020",23736.5,23253.2,23783.7,22737.3,104.59K,2.06%
"Dec 23, 2020",23257.9,23820.8,24063.7,22694.7,178.47K,-2.37%
"Dec 22, 2020",23823.2,22730.4,23825.4,22388.6,130.75K,4.82%
"Dec 21, 2020",22728.5,23474.1,24101.9,22015.5,154.69K,-3.18%
"Dec 20, 2020",23474.9,23843.6,24280.9,23098.9,114.09K,-1.55%
"Dec 19, 2020",23844,23127.6,24107.1,22797,133.88K,3.10%
"Dec 18, 2020",23127.9,22823.3,23272.8,22361.5,131.80K,1.33%
"Dec 17, 2020",22825.4,21352.3,23738,21243.1,310.74K,6.90%
"Dec 16, 2020",21352.2,19434.7,21525.3,19299.7,199.81K,9.87%
"Dec 15, 2020",19434.9,19273.9,19556.3,19076.2,98.39K,0.84%
"Dec 14, 2020",19273.8,19176.4,19346.5,19007,67.11K,0.51%
"Dec 13, 2020",19176.8,18808.1,19403.6,18716.8,82.45K,1.96%
"Dec 12, 2020",18808.9,18026.7,18936.2,18025.1,71.37K,4.36%
"Dec 11, 2020",18023.6,18250.5,18288.3,17600.1,111.53K,-1.23%
"Dec 10, 2020",18247.2,18546.1,18551.8,17926.8,85.31K,-1.61%
"Dec 09, 2020",18546,18322.4,18637.9,17658.8,129.72K,1.20%
"Dec 08, 2020",18326.6,19170.8,19288.6,18229.2,101.41K,-4.40%
"Dec 07, 2020",19170.7,19368.4,19424.6,18908.8,61.98K,-1.08%
"Dec 06, 2020",19379.9,19146,19417.1,18873,54.56K,1.22%
"Dec 05, 2020",19146.5,18657.5,19172.7,18507.1,59.44K,2.62%
"Dec 04, 2020",18658.1,19431.1,19529.5,18610.8,110.63K,-3.99%
"Dec 03, 2020",19433.3,19219.8,19596.6,18883.7,99.97K,1.12%
"Dec 02, 2020",19218.8,18767.9,19335.5,18346.7,91.92K,2.39%
"Dec 01, 2020",18770.7,19697.8,19897.4,18257,208.72K,-4.71%
"Nov 30, 2020",19698.1,18186,19831.2,18186,185.59K,8.32%
"Nov 29, 2020",18185.5,17729.7,18336.3,17530.4,79.12K,2.57%
"Nov 28, 2020",17730.7,17142.6,17874.4,16874.4,95.20K,3.52%
"Nov 27, 2020",17127.1,17160.9,17450.3,16481.6,138.80K,-0.20%
"Nov 26, 2020",17162,18721.9,18894.9,16235.2,312.07K,-8.34%
"Nov 25, 2020",18723,19151.5,19486.7,18527.7,146.12K,-2.24%
"Nov 24, 2020",19152.6,18394.6,19416.6,18074.8,180.79K,4.21%
"Nov 23, 2020",18379.6,18428.1,18756.8,18016,127.35K,-0.18%
"Nov 22, 2020",18412.9,18689.3,18751.5,17644.6,121.76K,-1.47%
"Nov 21, 2020",18687.2,18673.8,18966,18397.5,108.91K,0.06%
"Nov 20, 2020",18675.2,17805.5,18811,17758.4,134.42K,4.90%
"Nov 19, 2020",17803.5,17775.1,18166,17380.1,135.94K,0.16%
"Nov 18, 2020",17774.6,17662.3,18466.1,17258.9,233.43K,0.64%
"Nov 17, 2020",17662.3,16715.8,17845.4,16562,175.87K,5.66%
"Nov 16, 2020",16715.8,15954.1,16880.7,15870.7,118.09K,4.78%
"Nov 15, 2020",15953,16074.7,16158.1,15782.3,58.43K,-0.73%
"Nov 14, 2020",16071,16323.1,16328.2,15717.7,83.64K,-1.55%
"Nov 13, 2020",16324.2,16293,16474.1,15973.4,113.75K,0.18%
"Nov 12, 2020",16294.7,15695.8,16342.7,15483.5,165.54K,3.82%
"Nov 11, 2020",15695.8,15303.1,15953.9,15281,119.07K,2.56%
"Nov 10, 2020",15303.6,15328,15465.3,15096.5,93.36K,-0.15%
"Nov 09, 2020",15327.2,15483.3,15819.6,14816.9,165.04K,-1.01%
"Nov 08, 2020",15483.7,14826.6,15648.3,14720.7,94.99K,4.42%
"Nov 07, 2020",14828.4,15578.2,15754.4,14385.1,160.73K,-4.81%
"Nov 06, 2020",15577.9,15593.9,15955.2,15223.5,186.13K,-0.06%
"Nov 05, 2020",15587.1,14145.6,15739.9,14099.7,227.49K,10.19%
"Nov 04, 2020",14145.6,14023,14238.8,13544.4,140.80K,0.90%
"Nov 03, 2020",14019.9,13560.5,14054,13294.6,108.17K,3.38%
"Nov 02, 2020",13561.4,13759.7,13828.4,13214.2,97.76K,-1.44%
"Nov 01, 2020",13759.4,13795.5,13889.5,13628.7,51.71K,-0.27%
"Oct 31, 2020",13797.3,13560.2,14065.4,13441.7,102.75K,1.75%
"Oct 30, 2020",13559.9,13457,13667.9,13134.5,108.77K,0.76%
"Oct 29, 2020",13457.2,13278.3,13640,12982.9,111.23K,1.34%
"Oct 28, 2020",13278.9,13658.3,13851.7,12907.6,144.18K,-2.77%
"Oct 27, 2020",13657.8,13061.5,13782.3,13050.3,128.64K,4.56%
"Oct 26, 2020",13061.6,13033,13229.7,12792.4,89.47K,0.23%
"Oct 25, 2020",13032.2,13117,13345.3,12900.4,59.73K,-0.65%
"Oct 24, 2020",13117.2,12933.6,13161.5,12876.4,51.20K,1.42%
"Oct 23, 2020",12934.1,12972.7,13025.5,12738.9,73.94K,-0.31%
"Oct 22, 2020",12974.6,12805.5,13183.9,12698.2,113.31K,1.30%
"Oct 21, 2020",12808.7,11913.6,13213.5,11894.6,197.72K,7.51%
"Oct 20, 2020",11913.5,11753.9,12029.4,11685.7,94.59K,1.36%
"Oct 19, 2020",11753.4,11507.1,11823.3,11413.9,73.04K,2.14%
"Oct 18, 2020",11506.9,11362.1,11506.9,11349.8,31.51K,1.27%
"Oct 17, 2020",11362.1,11321.8,11402.7,11274.4,29.86K,0.35%
