Date,Price,Open,High,Low,Volume,Change
"May 21, 2020",9059,9511.6,9567.1,8833.6,1.41M,-4.76%
"May 20, 2020",9512.3,9773,9829.3,9368.4,1.15M,-2.67%
"May 19, 2020",9773.3,9730.8,9883.9,9498.7,1.16M,0.44%
"May 18, 2020",9730.7,9678.4,9930.2,9524.4,1.18M,0.55%
"May 17, 2020",9677.7,9376.6,9866,9327.8,1.18M,3.18%
"May 16, 2020",9379.5,9318.1,9579,9233,1.10M,0.66%
"May 15, 2020",9318,9778.6,9819.6,9223.2,1.56M,-4.71%
"May 14, 2020",9778.4,9298.7,9887.5,9265.8,1.77M,5.16%
"May 13, 2020",9298.7,8813.9,9384.6,8799.1,1.50M,5.50%
"May 12, 2020",8813.8,8569.8,8964.5,8542.8,1.35M,2.73%
"May 11, 2020",8579.8,8737.6,9129.6,8235.6,2.29M,-1.82%
"May 10, 2020",8738.8,9553.9,9569.4,8259.3,2.47M,-8.54%
"May 09, 2020",9554.6,9806,9910.5,9533.6,1.49M,-2.57%
"May 08, 2020",9806.2,9980.1,10018.2,9731.4,1.42M,-1.74%
"May 07, 2020",9979.8,9152.7,10033,9064.8,1.91M,9.05%
"May 06, 2020",9151.4,9000.6,9373.7,8923.6,1.62M,1.67%
"May 05, 2020",9001,8874.2,9078.7,8800.4,1.05M,1.42%
"May 04, 2020",8874.7,8885.5,8945.5,8553.2,1.12M,-0.12%
"May 03, 2020",8885.5,8966.2,9169.9,8742.2,1.15M,-0.90%
"May 02, 2020",8966.3,8821.6,8986.2,8771.3,890.34K,1.64%
"May 01, 2020",8821.6,8628.6,9040.3,8621,1.11M,2.23%
"Apr 30, 2020",8629,8770.6,9437.5,8425.5,2.04M,-1.62%
"Apr 29, 2020",8770.9,7746.7,8918.5,7729.7,1.83M,13.22%
"Apr 28, 2020",7746.9,7766,7770.1,7655.3,808.09K,-0.25%
"Apr 27, 2020",7766,7679.4,7768.5,7637.7,980.50K,1.13%
"Apr 26, 2020",7678.9,7540.4,7679.4,7520.5,921.59K,1.84%
"Apr 25, 2020",7540.4,7503.9,7684.6,7451,861.93K,0.49%
"Apr 24, 2020",7503.8,7491.3,7583.5,7423.5,951.95K,0.20%
"Apr 23, 2020",7488.5,7112.8,7655.4,7036.5,1.34M,5.28%
"Apr 22, 2020",7112.9,6842.5,7137.4,6821.8,914.18K,3.95%
"Apr 21, 2020",6842.5,6833.4,6919.3,6774.3,892.57K,0.13%
"Apr 20, 2020",6833.5,7122.9,7207.5,6771.2,1.26M,-4.06%
"Apr 19, 2020",7122.9,7230.9,7238,7079.1,5.93M,-1.49%
"Apr 18, 2020",7230.8,7035.9,7259.4,7031.5,796.45K,2.77%
"Apr 17, 2020",7035.8,7085.5,7142.8,7005.8,810.10K,-0.70%
"Apr 16, 2020",7085.6,6629.1,7159.7,6520.5,1.54M,6.89%
"Apr 15, 2020",6629.1,6851.3,6929.5,6615.9,1.00M,-3.24%
"Apr 14, 2020",6850.9,6841.8,6970.8,6768.6,999.53K,0.14%
"Apr 13, 2020",6841.3,6918.1,6920.3,6618.5,1.25M,-1.10%
"Apr 12, 2020",6917.6,6867.9,7158.8,6785.1,1.10M,0.73%
"Apr 11, 2020",6867.8,6862.7,6931.4,6765.1,845.58K,0.07%
"Apr 10, 2020",6863.1,7289,7294.4,6756.1,1.37M,-5.84%
"Apr 09, 2020",7289,7361.1,7361.1,7140.3,963.55K,-0.98%
"Apr 08, 2020",7361.2,7185.6,7396.1,7153.1,983.94K,2.45%
"Apr 07, 2020",7185.2,7332.3,7440.3,7101.7,1.32M,-2.01%
"Apr 06, 2020",7332.3,6772.8,7335,6770.1,1.53M,8.26%
"Apr 05, 2020",6772.7,6857.5,6889.4,6686,842.33K,-1.23%
"Apr 04, 2020",6857.4,6735.9,6958.6,6679.1,1.05M,1.80%
"Apr 03, 2020",6735.9,6799.9,7026.3,6623.6,1.35M,-0.95%
"Apr 02, 2020",6800.5,6638.8,7182.7,6567.9,1.74M,2.44%
"Apr 01, 2020",6638.5,6412.4,6661.3,6157.4,1.40M,3.52%
"Mar 31, 2020",6412.5,6391.1,6513.1,6346.3,1.05M,0.34%
"Mar 30, 2020",6391,5890.4,6576.5,5872.5,1.43M,8.50%
"Mar 29, 2020",5890.4,6233.2,6258.8,5889.3,916.17K,-5.51%
"Mar 28, 2020",6233.7,6373.4,6374.3,6046.5,1.26M,-2.19%
"Mar 27, 2020",6373.4,6725.5,6813.7,6322.3,1.16M,-5.23%
"Mar 26, 2020",6725.1,6677.9,6772.9,6541.7,1.18M,0.69%
"Mar 25, 2020",6678.9,6744.8,6930.2,6474.6,1.52M,-0.97%
"Mar 24, 2020",6744.6,6468.8,6814.2,6380.8,1.73M,4.26%
"Mar 23, 2020",6468.9,5822,6564.7,5710.8,1.88M,11.11%
"Mar 22, 2020",5822.1,6186.9,6394.4,5771.2,1.48M,-5.89%
"Mar 21, 2020",6186.2,6205.6,6438.3,5887,1.64M,-0.31%
"Mar 20, 2020",6205.3,6171.6,6858.1,5748.2,2.22M,0.54%
"Mar 19, 2020",6172,5359.2,6379.5,5256,2.18M,15.12%
"Mar 18, 2020",5361.4,5260.7,5373.1,5020.9,1.80M,1.91%
"Mar 17, 2020",5261.1,5030.2,5432.8,4946.5,1.89M,4.59%
"Mar 16, 2020",5030,5366.4,5369.3,4477.7,2.55M,-6.27%
"Mar 15, 2020",5366.3,5182.9,5863.3,5120.6,1.61M,3.54%
"Mar 14, 2020",5182.7,5589.4,5634.9,5072.2,1.69M,-7.19%
"Mar 13, 2020",5584.3,4815.2,5934.3,3869.5,4.17M,15.71%
"Mar 12, 2020",4826,7935.2,7963.1,4546.6,3.22M,-39.18%
"Mar 11, 2020",7935.1,7892.1,7976.5,7606,1.10M,0.56%
"Mar 10, 2020",7891.2,7933,8145.5,7740.2,1.20M,-0.53%
"Mar 09, 2020",7933,8035.8,8158.8,7648.7,1.54M,-1.26%
"Mar 08, 2020",8034.1,8887.8,8888,8015.3,1.11M,-9.61%
"Mar 07, 2020",8887.8,9134.2,9180.8,8848.7,750.65K,-2.70%
"Mar 06, 2020",9134.8,9060.6,9165.2,9004.9,1.04M,0.82%
"Mar 05, 2020",9060.3,8757.9,9147.3,8751.5,950.76K,3.45%
"Mar 04, 2020",8757.9,8761.3,8840.3,8679.7,759.69K,-0.04%
"Mar 03, 2020",8761.4,8906.1,8911.7,8669.3,1.01M,-1.61%
"Mar 02, 2020",8904.8,8537.5,8961.8,8503.1,1.02M,4.27%
"Mar 01, 2020",8540,8543.8,8737.2,8437.2,784.05K,-0.04%
